dron,blok,t_dilim_blok_ici,t_dakika_global,kaynak,hedef
D9,6,0,600,S3,H3041
D9,6,10,700,H2945,S3
D1,7,10,820,H2975,S1
D1,7,0,720,S1,H2879
D1,7,5,770,H2981,H2975
D1,7,3,750,H2879,H2981
D2,7,0,720,S1,H2453
D2,7,3,750,H2453,H2447
D2,7,5,770,H2447,H2351
D2,7,10,820,H2351,S1
D3,7,10,820,H2471,S1
D3,7,0,720,S1,H2273
D3,7,3,750,H2273,H2375
D3,7,8,800,H2579,H2471
D3,7,6,780,H2375,H2579
D4,7,5,770,H2747,H2741
D4,7,9,810,H2741,H2747
D4,7,0,720,S2,H2951
D4,7,3,750,H2951,H2747
D4,7,10,820,H2747,S2
D5,7,4,760,H1925,H2033
D5,7,0,720,S2,H1925
D5,7,10,820,H2033,S2
D6,7,0,720,S2,H2045
D6,7,3,750,H2045,H1943
D6,7,4,760,H1943,H2069
D6,7,6,780,H2069,H1967
D6,7,10,820,H1967,S2
D7,7,10,820,H2585,S3
D7,7,2,740,H2783,H2789
D7,7,4,760,H2789,H2585
D7,7,0,720,S3,H2783
D8,7,3,750,H2039,H2267
D8,7,5,770,H2267,H2381
D8,7,8,800,H2381,H2579
D8,7,10,820,H2579,S3
D8,7,0,720,S3,H2039
D9,7,3,750,H2861,H2969
D9,7,5,770,H2969,H3065
D9,7,10,820,H3065,S3
D9,7,0,720,S3,H2861
D1,8,10,940,H2843,S1
D1,8,5,890,H2543,H2639
D1,8,7,910,H2639,H2843
D1,8,0,840,S1,H2339
D1,8,3,870,H2339,H2543
D2,8,5,890,H2537,H2633
D2,8,0,840,S1,H2435
D2,8,9,930,S1,H2537
D2,8,6,900,H2633,S1
D2,8,3,870,H2435,H2537
D2,8,11,950,H2537,S1
D3,8,0,840,S1,H2057
D3,8,3,870,H2057,H2159
D3,8,10,940,H2021,S1
D3,8,5,890,H2159,H2021
D4,8,5,890,H2663,H2561
D4,8,3,870,H2567,H2663
D4,8,7,910,H2561,H2357
D4,8,0,840,S2,H2567
D4,8,10,940,H2357,S2
D5,8,6,900,H1931,H2027
D5,8,3,870,H1943,H1931
D5,8,0,840,S2,H1943
D5,8,10,940,H2027,S2
D6,8,3,870,H2993,H3083
D6,8,10,940,H2663,S2
D6,8,5,890,H3083,H3077
D6,8,7,910,H3077,H2867
D6,8,9,930,H2867,H2663
D6,8,0,840,S2,H2993
