blok,istasyon,peak_blok_ici
1,S1,0
1,S2,0
1,S3,0
2,S1,1
2,S2,2
2,S3,2
3,S1,2
3,S2,2
3,S3,2
4,S1,2
4,S2,2
4,S3,2
5,S1,2
5,S2,2
5,S3,2
6,S1,2
6,S2,2
6,S3,2
7,S1,2
7,S2,2
7,S3,2
8,S1,2
8,S2,2
8,S3,2
9,S1,2
9,S2,2
9,S3,2
10,S1,2
10,S2,2
10,S3,2
11,S1,2
11,S2,2
11,S3,2
12,S1,2
12,S2,2
12,S3,2
