zone,dron,blok,t_dilim_blok_ici,t_dakika_global,hex,risk,max_interval_dk
S1,D2,6,8,680,H3467,5.35,254.3478260869565
S1,D2,6,9,690,H2741,8.2,180.0
S1,D2,7,1,730,H3425,5.05,262.17391304347825
S1,D2,7,3,750,H3263,5.35,254.3478260869565
S1,D2,7,5,770,H3347,5.05,262.17391304347825
S1,D2,7,8,800,H2819,8.2,180.0
S1,D2,7,9,810,H2933,6.55,223.04347826086956
S1,D2,8,1,850,H2735,5.05,262.17391304347825
S1,D2,8,3,870,H3431,6.25,230.86956521739128
S1,D2,8,5,890,H2417,5.05,262.17391304347825
S1,D2,8,8,920,H2957,5.8,242.6086956521739
S1,D2,8,9,930,H3437,5.05,262.17391304347825
S1,D2,9,1,970,H3233,7.75,191.7391304347826
S1,D2,9,2,980,H3251,5.05,262.17391304347825
S1,D2,9,4,1000,H2825,8.2,180.0
S1,D2,9,6,1020,H2819,8.2,180.0
S1,D2,9,8,1040,H3161,5.8,242.6086956521739
S1,D2,9,9,1050,H2729,5.5,250.43478260869563
S1,D2,10,4,1120,H3167,5.8,242.6086956521739
S1,D2,10,6,1140,H2849,5.8,242.6086956521739
S1,D2,10,8,1160,H2537,7.75,191.7391304347826
S1,D2,10,10,1180,H2843,5.8,242.6086956521739
S1,D2,11,4,1240,H2621,5.5,250.43478260869563
S1,D2,11,6,1260,H3329,5.05,262.17391304347825
S1,D2,12,4,1360,H2849,5.8,242.6086956521739
S1,D2,12,6,1380,H2945,5.8,242.6086956521739
S1,D2,12,8,1400,H2531,5.05,262.17391304347825
S1,D2,12,10,1420,H2615,7.0,211.30434782608694
S1,D3,1,1,10,H3431,6.25,230.86956521739128
S1,D3,1,2,20,H2309,6.1,234.78260869565216
S1,D3,1,3,30,H2927,5.5,250.43478260869563
S1,D3,1,4,40,H3233,7.75,191.7391304347826
S1,D3,1,5,50,H3335,8.2,180.0
S1,D3,1,6,60,H3161,5.8,242.6086956521739
S1,D3,1,8,80,H3263,5.35,254.3478260869565
S1,D3,1,10,100,H2711,6.25,230.86956521739128
S1,D3,2,1,130,H2513,7.75,191.7391304347826
S1,D3,2,2,140,H2309,6.1,234.78260869565216
S1,D3,2,3,150,H3233,7.75,191.7391304347826
S1,D3,2,4,160,H2723,8.2,180.0
S1,D3,2,5,170,H3335,8.2,180.0
S1,D3,2,6,180,H2741,8.2,180.0
S1,D3,2,7,190,H2633,7.75,191.7391304347826
S1,D3,2,9,210,H2825,8.2,180.0
S1,D3,2,11,230,H2711,6.25,230.86956521739128
S1,D3,3,1,250,H2627,6.55,223.04347826086956
S1,D3,3,2,260,H2933,6.55,223.04347826086956
S1,D3,3,4,280,H3119,5.8,242.6086956521739
S1,D3,3,6,300,H2951,6.25,230.86956521739128
S1,D3,3,7,310,H2417,5.05,262.17391304347825
S1,D3,3,8,320,H3119,5.8,242.6086956521739
S1,D3,3,10,340,H3221,5.8,242.6086956521739
