dron,blok,t_dilim_blok_ici,t_dakika_global,kaynak,hedef
D6,8,0,840,S3,H2555
D6,8,7,910,H2147,H2165
D6,8,5,890,H2249,H2147
D6,8,2,860,H2555,H2453
D6,8,4,880,H2453,H2249
D1,9,10,1060,H2465,S1
D1,9,6,1020,H2567,H2465
D1,9,2,980,H2861,H2771
D1,9,4,1000,H2771,H2567
D1,9,0,960,S1,H2861
D2,9,10,1060,H2447,S1
D2,9,4,1000,H2249,H2351
D2,9,2,980,H2153,H2249
D2,9,0,960,S1,H2153
D2,9,5,1010,H2351,H2447
D3,9,4,1000,H2261,H2369
D3,9,6,1020,H2369,H2363
D3,9,10,1060,H2363,S2
D3,9,2,980,H2255,H2261
D3,9,0,960,S2,H2255
D4,9,0,960,S2,H2441
D4,9,10,1060,H2159,S2
D4,9,5,1010,S1,H2159
D4,9,3,990,H2441,S1
D5,9,10,1060,H2765,S3
D5,9,5,1010,H2759,H2765
D5,9,0,960,S3,H2867
D5,9,3,990,H2867,H2759
D6,9,0,960,S3,H2873
D6,9,10,1060,H2573,S3
D6,9,2,980,H2873,H2573
D1,10,4,1120,H2855,H2849
D1,10,10,1180,H2849,S1
D1,10,0,1080,S1,H2651
D1,10,2,1100,H2651,H2855
D2,10,6,1140,H2555,H2561
D2,10,2,1100,H2237,H2351
D2,10,4,1120,H2351,H2555
D2,10,0,1080,S1,H2237
D2,10,8,1160,H2561,H2459
D2,10,10,1180,H2459,S1
D3,10,0,1080,S2,H2141
D3,10,4,1120,H2243,H2357
D3,10,10,1180,H2453,S2
D3,10,9,1170,H2357,H2453
D3,10,2,1100,H2141,H2243
D4,10,5,1130,H2549,H2345
D4,10,10,1180,H2339,S2
D4,10,0,1080,S2,H2645
D4,10,6,1140,H2345,H2339
D4,10,4,1120,H2753,H2549
D4,10,2,1100,H2645,H2753
D5,10,9,1170,H2453,H2657
D5,10,10,1180,H2657,S3
D5,10,2,1100,H2669,H2663
D5,10,7,1150,H2657,H2453
D5,10,0,1080,S3,H2669
D5,10,5,1130,H2663,H2657
D6,10,2,1100,H2135,H2345
D6,10,0,1080,S3,H2135
D6,10,10,1180,H2651,S3
D6,10,5,1130,H2447,H2651
D6,10,4,1120,H2345,H2447
D1,11,2,1220,H2543,H2549
D1,11,4,1240,H2549,H2447
D1,11,0,1200,S1,H2543
D1,11,7,1270,H2447,H2441
D1,11,9,1290,H2441,S1
D2,11,0,1200,S1,H2873
D2,11,8,1280,H2567,H2771
D2,11,4,1240,H2867,H2771
D2,11,2,1220,H2873,H2867
D2,11,5,1250,H2771,H2567
D2,11,10,1300,H2771,S1
D3,11,4,1240,H2159,H2255
D3,11,0,1200,S2,H2153
D3,11,6,1260,H2255,H2363
D3,11,2,1220,H2153,H2159
D3,11,10,1300,H2363,S2
D4,11,2,1220,H2147,H2261
D4,11,0,1200,S2,H2147
D4,11,4,1240,H2261,H2165
D4,11,10,1300,H2165,S2
D5,11,3,1230,H2747,H2759
D5,11,10,1300,H2765,S3
D5,11,5,1250,H2759,H2861
D5,11,7,1270,H2861,H2765
D5,11,0,1200,S3,H2747
D6,11,0,1200,S3,H2777
D6,11,5,1250,H2573,H2369
D6,11,2,1220,H2777,H2573
D6,11,10,1300,H2465,S3
D6,11,7,1270,H2369,H2465
D1,12,3,1350,H2855,H2753
D1,12,8,1400,H2849,S1
